z1,z2
-7.874052524566650391e-01,-1.636388301849365234e-01
-2.632999420166015625e-01,-1.320399045944213867e+00
-1.152224242687225342e-01,1.828478574752807617e-01
1.538496017456054688e+00,-4.574125707149505615e-01
7.194046378135681152e-01,4.271371364593505859e-01
8.243651390075683594e-01,1.116624474525451660e-02
-2.248597741127014160e-01,-6.007009744644165039e-01
1.463408350944519043e+00,-1.611325979232788086e+00
9.697908163070678711e-01,3.409870266914367676e-01
3.589709997177124023e-01,2.716787159442901611e-01
7.483184337615966797e-02,1.098758220672607422e+00
-2.964857518672943115e-01,8.549765348434448242e-01
1.491572141647338867e+00,5.896379351615905762e-01
3.691634833812713623e-01,4.203414916992187500e-02
8.253566026687622070e-01,4.998273849487304688e-01
-5.607491731643676758e-02,4.075441956520080566e-01
-1.095619678497314453e+00,-1.864507198333740234e-01
9.043649435043334961e-01,-7.607115805149078369e-02
-1.246448278427124023e+00,7.146538048982620239e-02
-1.407420635223388672e-01,-1.264926046133041382e-01
1.448656469583511353e-01,-5.098958015441894531e-01
-4.249408841133117676e-02,-3.347165584564208984e-01
-1.334340870380401611e-01,-1.513347864151000977e+00
1.366727948188781738e-01,-4.925162792205810547e-01
2.567355155944824219e+00,-8.919028937816619873e-02
-7.000145316123962402e-02,1.773986518383026123e-01
-9.157226085662841797e-01,8.068771362304687500e-01
-1.331587433815002441e-01,3.435972929000854492e-01
2.039463818073272705e-01,6.362999081611633301e-01
-7.466074824333190918e-02,-6.360254883766174316e-01
2.782088279724121094e+00,3.929473400115966797e+00
3.007587790489196777e-01,1.834485977888107300e-01
-1.335433244705200195e+00,-2.014742940664291382e-01
8.227286338806152344e-01,5.412448942661285400e-02
-8.026686310768127441e-01,-3.876958847045898438e+00
9.299892187118530273e-02,-1.231243848800659180e+00
-9.284915924072265625e-01,-5.349662154912948608e-02
2.398194074630737305e-01,-4.665477275848388672e-01
2.213031053543090820e-02,-3.726558983325958252e-01
-7.084245085716247559e-01,-4.543536007404327393e-01
2.452320098876953125e+00,-7.412467002868652344e-01
2.227832078933715820e+00,-1.215715706348419189e-01
